n,mat_bad_us,mat_fast_us,mat_speedup,sum_slow_us,sum_fast_us,sum_speedup
512,1108.34,196.26,5.65,0.53,0.27,1.93
1024,7699.94,1287.99,5.98,1.20,0.55,2.17
1536,31405.91,3982.62,7.89,2.59,1.16,2.24
2048,92803.39,7369.92,12.59,3.12,1.37,2.27
2560,108190.48,8021.27,13.49,3.11,1.35,2.30
3072,207764.21,13314.62,15.60,4.50,1.95,2.31
3584,238289.15,17032.44,13.99,4.79,2.06,2.33
4096,368931.68,28630.92,12.89,6.14,4.00,1.53
4608,470585.35,23235.65,20.25,5.68,3.01,1.88
5120,647996.98,39426.33,16.44,6.35,2.69,2.36
5632,767537.65,41592.18,18.45,8.37,3.38,2.47
6144,994086.81,60962.48,16.31,8.32,3.54,2.35
6656,1253576.88,96984.23,12.93,11.01,5.16,2.13
7168,1534984.30,93071.17,16.49,13.37,5.32,2.52
7680,1940948.03,76263.56,25.45,9.53,4.03,2.36
8192,2134475.63,152087.23,14.03,11.03,6.56,1.68
